itemID,ingredientID,ingredientName,count,portionPerInventoryUnit
501,c1001,chicken,5,0.09375
501,c1002,potato salad,1,0.06875
501,d2001,flour,1,0.005
501,d2002,salt,1,0.0003125
501,d2003,pepper,1,0.003125
501,d2004,toast,1,0.00588235
501,d2005,garlic powder,1,0.003125
501,d2006,ketchup (large),1,0.00085938
501,d2008,mayo,1,0.00085938
501,d2011,worcestershire sauce,1,0.00085938
501,d2012,fryer oil,1,0.01428571
501,d2023,straw,1,0.00125
501,d2024,drink lid,1,0.001
501,d2026,16oz cup,1,0.001
501,d2027,napkin,2,0.00016667
501,d2028,cutlery pack,1,0.002
501,d2029,basket liner,1,0.00016667
501,d2030,2oz clear cup,1,0.0004
501,d2031,2oz lid,1,0.0004
501,d2032,5.5 oz clear cup,1,0.0004
501,d2033,5.5 oz lid,1,0.0004
501,d2035,hinged lid box lg,1,0.005
501,f3002,fries,1,0.00833332
501,drinkID,drink,1,0.00416667
502,c1001,chicken,4,0.09375
502,c1002,potato salad,1,0.06875
502,d2001,flour,1,0.005
502,d2002,salt,1,0.0003125
502,d2003,pepper,1,0.003125
502,d2004,toast,1,0.00588235
502,d2005,garlic powder,1,0.003125
502,d2006,ketchup (large),1,0.00085938
502,d2008,mayo,1,0.00085938
502,d2011,worcestershire sauce,1,0.00085938
502,d2012,fryer oil,1,0.01428571
502,d2023,straw,1,0.00125
502,d2024,drink lid,1,0.001
502,d2026,16oz cup,1,0.001
502,d2027,napkin,2,0.00016667
502,d2028,cutlery pack,1,0.002
502,d2029,basket liner,1,0.00016667
502,d2030,2oz clear cup,1,0.0004
502,d2031,2oz lid,1,0.0004
502,d2032,5.5 oz clear cup,1,0.0004
502,d2033,5.5 oz lid,1,0.0004
502,d2035,hinged lid box lg,1,0.005
502,f3002,fries,1,0.00833332
502,drinkID,drink,1,0.00416667
503,c1001,chicken,3,0.09375
503,c1002,potato salad,1,0.06875
503,d2001,flour,1,0.005
503,d2002,salt,1,0.0003125
503,d2003,pepper,1,0.003125
503,d2004,toast,1,0.00588235
503,d2005,garlic powder,1,0.003125
503,d2006,ketchup (large),1,0.00085938
503,d2008,mayo,1,0.00085938
503,d2011,worcestershire sauce,1,0.00085938
503,d2012,fryer oil,1,0.01428571
503,d2023,straw,1,0.00125
503,d2024,drink lid,1,0.001
503,d2026,16oz cup,1,0.001
503,d2027,napkin,1,0.00016667
503,d2028,cutlery pack,1,0.002
503,d2029,basket liner,1,0.00016667
503,d2030,2oz clear cup,1,0.0004
503,d2031,2oz lid,1,0.0004
503,d2032,5.5 oz clear cup,1,0.0004
503,d2033,5.5 oz lid,1,0.0004
503,d2035,hinged lid box sm,1,0.0022
503,f3002,fries,1,0.00833332
503,drinkID,drink,1,0.00416667
504,c1001,chicken,2,0.09375
504,c1002,potato salad,1,0.06875
504,d2001,flour,1,0.005
504,d2002,salt,1,0.0003125
504,d2003,pepper,1,0.003125
504,d2004,toast,1,0.00588235
504,d2005,garlic powder,1,0.003125
504,d2006,ketchup (large),1,0.00085938
504,d2008,mayo,1,0.00085938
504,d2011,worcestershire sauce,1,0.00085938
504,d2012,fryer oil,1,0.01428571
504,d2023,straw,1,0.00125
504,d2024,drink lid,1,0.001
504,d2025,10oz cup,1,0.001
504,d2027,napkin,1,0.00016667
504,d2028,cutlery pack,1,0.002
504,d2029,basket liner,1,0.00016667
504,d2030,2oz clear cup,1,0.0004
504,d2031,2oz lid,1,0.0004
504,d2032,5.5 oz clear cup,1,0.0004
504,d2033,5.5 oz lid,1,0.0004
504,d2035,hinged lid box sm,1,0.0022
504,f3002,fries,0.5,0.00833332
504,drinkID,drink,1,0.00416667
505,d2009,tea bags,1,0.167
505,d2010,sugar,1,0.0176
506,c1001,chicken,20,0.09375
506,d2001,flour,5,0.005
506,d2002,salt,1,0.0003125
506,d2003,pepper,1,0.003125
506,d2004,toast,4,0.00588235
506,d2005,garlic powder,1,0.003125
506,d2006,ketchup (large),8,0.00085938
506,d2008,mayo,8,0.00085938
506,d2011,worcestershire sauce,8,0.00085938
506,d2012,fryer oil,2,0.01428571
506,d2027,napkin,10,0.00016667
506,d2028,cutlery pack,4,0.002
506,d2029,basket liner,4,0.00016667
506,d2030,2oz clear cup,8,0.0004
506,d2031,2oz lid,8,0.0004
506,d2035,hinged lid box lg,4,0.005
506,f3002,fries,4,0.00833332
507,c1001,chicken,3,0.09375
507,c1002,potato salad,1,0.06875
507,c1005,cheese slices,1,0.00104167
507,c1006,Bacon slices,3,0.00333
507,d2001,flour,1,0.005
507,d2002,salt,1,0.0003125
507,d2003,pepper,1,0.003125
507,d2004,toast,3,0.00588235
506,d2005,garlic powder,1,0.003125
507,d2006,ketchup (large),1,0.00085938
507,d2008,mayo,1,0.00085938
507,d2011,worcestershire sauce,1,0.00085938
507,d2012,fryer oil,1,0.01428571
507,d2023,straw,1,0.00125
507,d2024,drink lid,1,0.001
507,d2026,16oz cup,1,0.001
507,d2027,napkin,2,0.00016667
