Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$1,907.50 "
,501,30,,
,502,30,,
,503,30,,
,504,18,,
,505,3,,
,506,20,,
,507,15,,
,508,7,,
,509,50,,
,510,30,,
,511,5,,
,512,2,,
,513,120,,
,514,15,,
,515,10,,
,516,5,,
,517,20,,
,518,25,,
,519,12,,
,,,,
Monday,Item,Quantity,Total,"$1,827.80 "
,501,23,,
,502,26,,
,503,26,,
,504,15,,
,505,8,,
,506,8,,
,507,30,,
,508,15,,
,509,50,,
,510,30,,
,511,10,,
,512,13,,
,513,78,,
,514,64,,
,515,13,,
,516,8,,
,517,49,,
,518,40,,
,519,20,,
,,,,
Tuesday,Item,Quantity,Total,"$2,144.05 "
,501,37,,
,502,40,,
,503,40,,
,504,30,,
,505,15,,
,506,8,,
,507,30,,
,508,15,,
,509,50,,
,510,32,,
,511,12,,
,512,15,,
,513,78,,
,514,60,,
,515,29,,
,516,20,,
,517,47,,
,518,47,,
,519,2,,
,,,,
Wednesday,Item,Quantity,Total,"$1,014.00 "
,501,20,,
,502,20,,
,503,28,,
,504,15,,
,505,0,,
,506,2,,
,507,15,,
,508,7,,
,509,30,,
,510,15,,
,511,4,,
,512,2,,
,513,30,,
,514,20,,
,515,12,,
,516,6,,
,517,18,,
,518,30,,
,519,15,,
,,,,
Thursday,Item,Quantity,Total,"$1,773.75 "
,501,30,,
,502,30,,
,503,30,,
,504,20,,
,505,0,,
,506,0,,
,507,10,,
,508,15,,
,509,80,,
,510,40,,
,511,15,,
,512,3,,
,513,115,,
,514,89,,
,515,40,,
,516,8,,
,517,30,,
,518,60,,
,519,45,,
,,,,
Friday,Item,Quantity,Total,"$2,818.50 "
,501,50,,
,502,50,,
,503,50,,
,504,20,,
,505,20,,
,506,16,,
,507,45,,
,508,20,,
,509,60,,
,510,30,,
,511,2,,
,512,0,,
,513,150,,
,514,80,,
,515,20,,
,516,10,,
,517,40,,
,518,90,,
,519,45,,
,,,,
Saturday,Item,Quantity,Total,"$4,013.00 "
,501,64,,
,502,64,,
,503,64,,
,504,43,,
,505,23,,
,506,19,,
,507,54,,
,508,25,,
,509,98,,
,510,54,,
,511,12,,
,512,9,,
,513,141,,
,514,109,,
,515,43,,
,516,21,,
,517,64,,
,518,109,,
,519,54,,
